,Company,Ticker,IPO,First Value,Last Value,Last Date,How Much
88,ALLOGENE THERAPEUTICS,ALLO,2018-10-01 00:00:00-04:00,24.329999923706055,4.940000057220459,2023-04-01 00:00:00-04:00,-79.69584844754912
89,ALLOVIR,ALVR,2020-07-01 00:00:00-04:00,24.049999237060547,3.930000066757202,2023-04-01 00:00:00-04:00,-83.65904286308186
90,ALLSCRIPTS HEALTHCARE SOLUTIONS,MDRX,1999-07-01 00:00:00-04:00,6.483609766472043,13.260000228881836,2023-04-01 00:00:00-04:00,104.5157050853334
91,ALPHA & OMEGA SEMICONDUCTOR,AOSL,2010-04-01 00:00:00-04:00,18.0,26.899999618530273,2023-04-01 00:00:00-04:00,49.44444232516819
92,ALPHA METALLURGICAL RESOURCES INC,AMR,2021-02-01 00:00:00-05:00,14.746181725118376,146.10000610351562,2023-05-01 00:00:00-04:00,890.7649914191111
93,ALPHA TEKNOVA,TKNO,2021-06-01 00:00:00-04:00,23.600000381469727,1.8473000526428223,2023-05-05 00:00:00-04:00,-92.17245753058
94,ALPHATEC HOLDINGS INC.,ATEC,2006-06-01 00:00:00-04:00,78.72000122070312,15.25,2023-05-05 00:00:00-04:00,-80.62754095081328
95,ALPINE IMMUNE SCIENCES,ALPN,2015-06-01 00:00:00-04:00,61.47999954223633,6.929999828338623,2023-05-05 00:00:00-04:00,-88.72804183484459
96,ALTA EQUIPMENT GROUP INC (A),ALTG,2019-04-01 00:00:00-04:00,9.58480039480734,15.869999885559082,2023-04-01 00:00:00-04:00,65.57465186397424
97,ALTAIR ENGINEERING,ALTR,2017-11-01 00:00:00,17.100000381469727,68.62999725341797,2023-05-01 00:00:00,301.34500422460985
98,ALTO INGREDIENTS INC,ALTO,2005-03-01 00:00:00,1050.0,1.399999976158142,2023-05-05 00:00:00,-99.86666666893733
99,ALTRA INDUSTRIAL MOTION,AIMC,2006-12-01 00:00:00,11.942296639574534,61.560001373291016,2023-03-01 00:00:00,415.4787494500237
100,ALTUS POWER INC (A),AMPS,2021-02-01 00:00:00,10.25,4.550000190734863,2023-05-01 00:00:00,-55.609754236733046
101,ALX ONCOLOGY HOLDINGS,ALXO,2020-07-01 00:00:00,32.459999084472656,4.590000152587891,2023-04-01 00:00:00,-85.85951853959376
102,AMALGAMATED FINANCIAL CORP,AMAL,2018-08-01 00:00:00,16.039668482728853,16.420000076293945,2023-05-01 00:00:00,2.371193606492706
103,AMARK PRECIOUS METALS,AMRK,2014-03-01 00:00:00,5.187403181382081,35.369998931884766,2023-05-05 00:00:00,581.8440305320769
104,AMBAC FINANCIAL GROUP INC,AMBC,2013-05-01 00:00:00,18.610000610351562,15.880000114440918,2023-05-01 00:00:00,-14.669534693040895
105,AMBARELLA INC,AMBA,2012-10-01 00:00:00,8.4399995803833,76.62999725341797,2023-04-01 00:00:00,807.9384012236864
106,AMC NETWORKS,AMCX,2011-06-01 00:00:00,39.75,15.029999732971191,2023-05-05 00:00:00,-62.188679917053605
107,AMER RLTY INV,ARL,1985-01-01 00:00:00,6.891011128058801,26.420000076293945,2023-04-01 00:00:00,283.3980178716743
108,AMERANT BANCORP (A),AMTB,2018-10-01 00:00:00,21.239411738882136,21.850000381469727,2023-04-01 00:00:00,2.8747907432380067
109,AMERESCO,AMRC,2010-07-01 00:00:00,10.0,49.08000183105469,2023-04-01 00:00:00,390.8000183105469
110,AMERICA CAR MART,CRMT,1987-03-01 00:00:00,0.0,77.52999877929688,2023-05-05 00:00:00,inf
111,AMERICAN ASSETS TRUST INC.,AAT,2011-01-01 00:00:00,14.626797676086426,18.690000534057617,2023-04-01 00:00:00,27.779169083703014
112,AMERICAN AXLE & MFG HOLDINGS,AXL,1999-01-01 00:00:00,14.490957004507791,7.840000152587891,2023-04-01 00:00:00,-45.89729201357058
113,AMERICAN EAGLE OUTFITTERS,AEO,1994-04-01 00:00:00,0.4327808588636513,13.479999542236328,2023-04-01 00:00:00,3014.7402354232204
114,AMERICAN EQUITY INVESTMENT LIFE,AEL,2003-12-01 00:00:00,8.513322885343218,38.849998474121094,2023-05-05 00:00:00,356.34353351035674
115,AMERICAN NATIONAL BANKSHARES,AMNB,1999-04-01 00:00:00,5.774531860609312,31.56999969482422,2023-04-01 00:00:00,446.710979467919
116,AMERICAN PUBLIC EDUCATION,APEI,2007-11-01 00:00:00,42.790000915527344,5.670000076293945,2023-05-01 00:00:00,-86.74924058195928
117,AMERICAN SOFTWARE CLASS A,AMSWA,1984-11-01 00:00:00,1.0245739563492768,11.90999984741211,2023-05-01 00:00:00,1062.434373195408
118,AMERICAN STATES WATER,AWR,1984-11-01 00:00:00,0.0,88.5,2023-05-01 00:00:00,inf
119,AMERICAN VANGUARD,AVD,1987-03-01 00:00:00,0.23879973590373993,18.600000381469727,2023-05-05 00:00:00,7688.953497405616
120,AMERICAN WELL,AMWL,2020-09-01 00:00:00,30.600000381469727,2.0299999713897705,2023-05-05 00:00:00,-93.36601324809438
121,AMERICAN WOODMARK,AMWD,1986-07-01 00:00:00,0.0,52.2599983215332,2023-04-01 00:00:00,inf
122,AMERIS BANCORP,ABCB,1994-05-01 00:00:00,2.8537873761502075,33.599998474121094,2023-05-01 00:00:00,1077.3826864231169
123,AMERISAFE,AMSF,2005-11-01 00:00:00,5.0275543932919655,55.31999969482422,2023-05-01 00:00:00,1000.3361747539748
124,AMICUS THERAPEUTICS,FOLD,2007-05-01 00:00:00,14.399999618530273,11.539999961853027,2023-05-01 00:00:00,-19.861109253065038
125,AMKOR TECH INC,AMKR,1998-05-01 00:00:00,12.098393983478786,22.420000076293945,2023-05-01 00:00:00,85.31385328424619
126,AMMO INC,POWW,2017-02-01 00:00:00,2.4800000190734863,1.9600000381469727,2023-05-01 00:00:00,-20.96774100513042
127,AMN HEALTHCARE SERVICES INC,AMN,2001-11-01 00:00:00,25.899999618530273,86.3499984741211,2023-05-01 00:00:00,233.39768241672712
128,AMNEAL PHARMACEUTICALS,AMRX,2018-05-01 00:00:00,19.780000686645508,1.9299999475479126,2023-05-01 00:00:00,-90.24266996688755
129,AMPHASTAR PHARMACEUTICALS,AMPH,2014-06-01 00:00:00,9.899999618530273,36.790000915527344,2023-05-05 00:00:00,271.61618518313725
130,AMPLIFY ENERGY,AMPY,2012-04-01 00:00:00,134.79485138885454,7.25,2023-04-01 00:00:00,-94.62145629057798
131,AMPLITUDE INC,AMPL,2021-09-01 00:00:00,54.0,11.229999542236328,2023-05-05 00:00:00,-79.2037045514142
132,AMYLYX PHARMACEUTICALS,AMLX,2022-01-01 00:00:00,23.200000762939453,29.299999237060547,2023-04-01 00:00:00,26.293096006554702
133,AMYRIS,AMRS,2010-09-01 00:00:00,258.75,0.8500000238418579,2023-05-05 00:00:00,-99.67149757532681
134,AN2 THERAPEUTICS,ANTX,2022-03-01 00:00:00,15.380000114440918,5.179999828338623,2023-05-05 00:00:00,-66.31989733553442
135,ANAPTYS BIO,ANAB,2017-01-01 00:00:00,17.260000228881836,21.799999237060547,2023-04-01 00:00:00,26.303586025345194
136,ANAVEX LIFE SCIENCES,AVXL,2006-08-01 00:00:00,10.0,8.149999618530273,2023-05-01 00:00:00,-18.500003814697266
137,ANDERSONS INC,ANDE,1996-02-01 00:00:00,2.4316908318438175,44.70000076293945,2023-05-01 00:00:00,1738.2271371663603
138,ANGEL OAK MORTGAGE,AOMR,2021-06-01 00:00:00,14.664823028527273,7.889999866485596,2023-05-05 00:00:00,-46.197783286322036
139,ANGIODYNAMICS,ANGO,2004-06-01 00:00:00,14.170000076293945,8.539999961853027,2023-05-05 00:00:00,-39.73182839892688
140,ANI PHARMACEUTICALS,ANIP,2000-05-01 00:00:00,253.125,37.7400016784668,2023-05-01 00:00:00,-85.09036970727237
141,ANIKA THERAPEUT,ANIK,1993-05-01 00:00:00,3.25,25.709999084472656,2023-05-01 00:00:00,691.076894906851
142,ANTERIX,ATEX,2015-02-01 00:00:00,52.5,31.479999542236328,2023-05-01 00:00:00,-40.03809611002604
143,ANYWHERE REAL ESTATE INC,HOUS,2012-10-01 00:00:00,33.60204924523358,5.239999771118164,2023-04-01 00:00:00,-84.40571367277116
144,APARTMENT INV MANAGEMENT,AIV,1994-07-01 00:00:00,0.33126257953887095,7.670000076293945,2023-04-01 00:00:00,2215.3837922082394
145,ALTAIR ENGINEERING,ALTR,2017-11-01 00:00:00,17.100000381469727,68.62999725341797,2023-05-01 00:00:00,301.34500422460985
146,ALTO INGREDIENTS INC,ALTO,2005-03-01 00:00:00,1050.0,1.399999976158142,2023-05-05 00:00:00,-99.86666666893733
